Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,9.650000,9.760000,9.650000,9.760000,9.760000,600
2019-09-17,9.760000,9.760000,9.760000,9.760000,9.760000,0
2019-09-18,9.690000,9.720000,9.690000,9.720000,9.720000,200
2019-09-19,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-09-20,9.840000,9.850000,9.840000,9.850000,9.850000,900
2019-09-23,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-24,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-25,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-26,9.850000,9.850000,9.850000,9.850000,9.850000,800
2019-09-27,9.700000,9.700000,9.660000,9.660000,9.660000,25000
2019-09-30,9.685000,9.710000,9.685000,9.710000,9.710000,800
2019-10-01,9.710000,9.710000,9.710000,9.710000,9.710000,0
2019-10-02,9.710000,9.710000,9.710000,9.710000,9.710000,0
2019-10-03,9.710000,9.710000,9.710000,9.710000,9.710000,0
2019-10-04,9.710000,9.710000,9.710000,9.710000,9.710000,0
2019-10-07,9.680000,9.680000,9.680000,9.680000,9.680000,186900
2019-10-08,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-10-09,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-10-10,9.660000,9.660000,9.630000,9.650000,9.650000,450500
2019-10-11,9.700000,9.700000,9.700000,9.700000,9.700000,130000
2019-10-14,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-10-15,9.735000,9.750000,9.735000,9.735000,9.735000,4200
2019-10-16,9.750000,9.750000,9.750000,9.750000,9.750000,100
2019-10-17,9.700000,9.710000,9.700000,9.710000,9.710000,175600
2019-10-18,9.710000,9.710000,9.710000,9.710000,9.710000,100
2019-10-21,9.750000,9.750000,9.720000,9.750000,9.750000,2000
2019-10-22,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-10-23,9.740000,9.750000,9.740000,9.750000,9.750000,600
2019-10-24,9.740000,9.750000,9.740000,9.750000,9.750000,300
2019-10-25,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-10-28,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-10-29,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-10-30,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-10-31,9.720000,9.750000,9.720000,9.730000,9.730000,1102800
2019-11-01,9.730000,9.730000,9.730000,9.730000,9.730000,0
2019-11-04,9.730000,9.730000,9.730000,9.730000,9.730000,20000
2019-11-05,9.730000,9.740000,9.720000,9.740000,9.740000,286000
2019-11-06,9.720000,9.720000,9.720000,9.720000,9.720000,43800
2019-11-07,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-11-08,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-11-11,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-11-12,9.740000,9.740000,9.740000,9.740000,9.740000,250000
2019-11-13,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-11-14,9.700000,9.800000,9.700000,9.770000,9.770000,1100800
2019-11-15,9.770000,9.770000,9.770000,9.770000,9.770000,400
2019-11-18,9.800000,9.800000,9.790000,9.790000,9.790000,24000
2019-11-19,9.790000,9.790000,9.790000,9.790000,9.790000,0
2019-11-20,9.700000,9.790000,9.700000,9.790000,9.790000,300
2019-11-21,9.790000,9.790000,9.790000,9.790000,9.790000,0
2019-11-22,9.790000,9.790000,9.790000,9.790000,9.790000,0
2019-11-25,9.790000,9.790000,9.790000,9.790000,9.790000,0
2019-11-26,9.790000,9.790000,9.790000,9.790000,9.790000,0
